t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.18,0.005814946268100001,-0.008955323728200001,0.0,0.12303886126500005,-0.18615482973,0.0,1.8689409405000006,-2.7324650010000004,0.0,16.43603070833334,-21.77313641666667,0.0,12.611710185185188,29.362579629629664,0.0,0.0
0.19,0.007141525715243124,-0.010957110454352773,0.0,0.14255177122764395,-0.21456252161408548,0.0,2.033770663664889,-2.948439912608411,0.0,16.51379906476124,-21.393090100115746,0.0,2.94333585819615,46.615075025720245,0.0,0.0
0.2,0.008671484682213083,-0.013253702331961598,0.0,0.16371525605852777,-0.24510809327846372,0.0,2.198894924554185,-3.1597551440329226,0.0,16.494979080932794,-20.841565843621403,0.0,-6.7005418381344555,63.64829218107005,0.0,0.0
0.21,0.010421327559436722,-0.015866216691467188,0.0,0.18652743715466152,-0.2777364130395313,0.0,2.3633496061996535,-3.364707867329861,0.0,16.379978203993062,-20.121052692708336,0.0,-16.287426736111087,80.40297847222232,0.0,0.0
0.22,0.012407491826910522,-0.018815134844606594,0.0,0.21097682053175817,-0.31237545526196164,0.0,2.526176290912895,-3.5616231076419758,0.0,16.16952884276407,-19.234632219135808,0.0,-25.78482266803843,96.81988127572023,0.0,0.0
0.23,0.014646252239511869,-0.022120134636304575,0.0,0.23704237006511567,-0.3489366085158809,0.0,2.6864255099021146,-3.748859668460778,0.0,15.864688367744776,-18.185978520897635,0.0,-35.16023346622086,112.83974796810716,0.0,0.0
0.24,0.0171536259072,-0.025799926374400005,0.0,0.2646936132266668,-0.38731504298666664,0.0,2.84315999288889,-3.9248160568888895,0.0,15.466839111111119,-16.979358222222224,0.0,-44.381162962962975,128.403325925926,0.0,0.0
0.25,0.01994527859506839,-0.029872092729733322,0.0,0.29389077931819696,-0.42739013713737256,0.0,2.995457917724946,-4.087936408902393,0.0,14.97768836671597,-15.619630473572535,0.0,-53.41511499056929,143.45136252572027,0.0,0.0
0.26,0.023036432568209936,-0.03435293319912127,0.0,0.32458497020072946,-0.4690259636237724,0.0,3.142416160008918,-4.236716414613169,0.0,14.39926839008917,-14.112246951646082,0.0,-62.22959338134433,157.92460514403305,0.0,0.0
0.27,0.02644177630635705,-0.03925731372374534,0.0,0.35671836352007835,-0.5120718344620314,0.0,3.283153542703126,-4.369709243531251,0.0,13.733936398437507,-12.463251859374996,0.0,-70.79210196759266,171.76380115740753,0.0,0.0
