t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.00971261974178,-135.55421907538528,0.0,0.0
0.01,3.4419835778216805e-08,-5.606636244689106e-08,0.0,1.3750857665853514e-05,-2.238459745055207e-05,0.0,0.004116654975885898,-0.006694308008023869,0.0,0.8198517964368588,-1.3303748726976008,0.0,80.92237747537166,-130.46251741366268,0.0,0.0
0.02,5.479342589256421e-07,-8.902728636012937e-07,0.0,0.0001093034904735272,-0.00017736801000127502,0.0,0.016323680264651634,-0.02643203977553571,0.0,1.617700575644502,-2.6081191555219347,0.0,78.61095017212216,-125.03145792654423,0.0,0.0
0.03,2.7593199157325115e-06,-4.471867356779427e-06,0.0,0.0003664245622467679,-0.0005926972253222721,0.0,0.03639002518588343,-0.05867025719511428,0.0,2.391360645980841,-3.829939974993413,0.0,76.08647669933447,-119.28118156890413,0.0,0.0
0.04,8.673107877261055e-06,-1.4019880246445422e-05,0.0,0.0008624627864213042,-0.0013905285631612679,0.0,0.06406333444221371,-0.10283410047228624,0.0,3.138756775697201,-4.992745867181192,0.0,73.36000304634973,-113.23182929561665,0.0,0.0
0.05,2.1054357314599856e-05,-3.3945655292893035e-05,0.0,0.001672141402869978,-0.0026871185289505228,0.0,0.09907105271825516,-0.1583188022210134,0.0,3.8579241929383166,-6.093646777703169,0.0,70.44257520250916,-106.90354206155601,0.0,0.0
0.06,4.3401409172316194e-05,-6.979238965777086e-05,0.0,0.002867361700717218,-0.004592534808368622,0.0,0.1411215292795349,-0.22449170155918027,0.0,4.5470085857423355,-7.129954061725982,0.0,67.34523915715391,-100.31646082159646,0.0,0.0
0.07,7.991673030000004e-05,-0.00012817188460000005,0.0,0.0045170175871428585,-0.007210387402857146,0.0,0.18990512257142858,-0.30069425820408174,0.0,5.204266102040817,-8.099180483965016,0.0,64.07904089962516,-93.49072653061226,0.0,0.0
0.08,0.00013547595850179242,-0.00021669870823163236,0.0,0.006686821202175284,-0.01063757990609219,0.0,0.24509530481809452,-0.38624406656790977,0.0,5.828063349658731,-8.999040218684394,0.0,60.65502641926409,-86.44648014347766,0.0,0.0
0.09,0.00021559525896379267,-0.0003439219717431991,0.0,0.009439139579473942,-0.014964080921410805,0.0,0.3063497666214077,-0.48043686985324147,0.0,6.416877396314461,-9.827448849696982,0.0,57.08424170541187,-79.20386261506687,0.0,0.0
0.1,0.0003263971025192371,-0.0005192549205080974,0.0,0.012832842353101177,-0.020272715620192273,0.0,0.37331152155989433,-0.5825485741485267,0.0,6.969295769619802,-10.582523370364392,0.0,53.377732747409674,-71.78301490025416,0.0,0.0
0.11,0.0004745745762113421,-0.0007529025414755643,0.0,0.016923160510283385,-0.026638977441194235,0.0,0.44561001078766505,-0.6918372625235746,0.0,7.484016457079958,-11.262582183596972,0.0,49.546545534598685,-64.20407795391378,0.0,0.0
